tune graph 0: {'queries': 153, 'answerable': 108, 'empty_queries': 36, 'macro_fact_f1': 0.22846584143346366, 'coverage': 0.9444444444444444, 'precision': 0.10258435724055395, 'all_required_rate': 0.9166666666666666, 'empty_rate': 0, 'mean_tokens': 200.3986928104575, 'unsupported_tokens': 7418, 'scope_errors': 0, 'stale_facts': 0, 'forbidden_facts': 0}
tune graph 1: {'queries': 153, 'answerable': 108, 'empty_queries': 36, 'macro_fact_f1': 0.22846584143346366, 'coverage': 0.9444444444444444, 'precision': 0.10258435724055395, 'all_required_rate': 0.9166666666666666, 'empty_rate': 0, 'mean_tokens': 200.3986928104575, 'unsupported_tokens': 7418, 'scope_errors': 0, 'stale_facts': 0, 'forbidden_facts': 0}
tune graph 2: {'queries': 153, 'answerable': 108, 'empty_queries': 36, 'macro_fact_f1': 0.20693711334867415, 'coverage': 0.9537037037037037, 'precision': 0.09163661847480946, 'all_required_rate': 0.9444444444444444, 'empty_rate': 0, 'mean_tokens': 227.43790849673204, 'unsupported_tokens': 8414, 'scope_errors': 0, 'stale_facts': 0, 'forbidden_facts': 0}
tune graph 3: {'queries': 153, 'answerable': 108, 'empty_queries': 36, 'macro_fact_f1': 0.21362435614702807, 'coverage': 0.9814814814814815, 'precision': 0.094488801014492, 'all_required_rate': 0.9722222222222222, 'empty_rate': 0, 'mean_tokens': 227.45098039215685, 'unsupported_tokens': 8414, 'scope_errors': 0, 'stale_facts': 0, 'forbidden_facts': 0}
tune dense 0: {'queries': 153, 'answerable': 108, 'empty_queries': 36, 'macro_fact_f1': 0.26095693398366926, 'coverage': 0.9351851851851852, 'precision': 0.12331965744230321, 'all_required_rate': 0.9166666666666666, 'empty_rate': 0, 'mean_tokens': 230.77777777777777, 'unsupported_tokens': 9647, 'scope_errors': 0, 'stale_facts': 0, 'forbidden_facts': 0}
tune dense 1: {'queries': 153, 'answerable': 108, 'empty_queries': 36, 'macro_fact_f1': 0.2637347117614471, 'coverage': 0.9351851851851852, 'precision': 0.12505576855341433, 'all_required_rate': 0.9166666666666666, 'empty_rate': 0, 'mean_tokens': 230.4313725490196, 'unsupported_tokens': 9647, 'scope_errors': 0, 'stale_facts': 0, 'forbidden_facts': 0}
tune dense 2: {'queries': 153, 'answerable': 108, 'empty_queries': 36, 'macro_fact_f1': 0.26235554360016866, 'coverage': 0.9120370370370371, 'precision': 0.12438049149591186, 'all_required_rate': 0.8888888888888888, 'empty_rate': 0, 'mean_tokens': 207.79084967320262, 'unsupported_tokens': 8855, 'scope_errors': 0, 'stale_facts': 0, 'forbidden_facts': 0}
heldout bm25: {'queries': 153, 'answerable': 108, 'empty_queries': 36, 'macro_fact_f1': 0.2171864603404851, 'coverage': 0.7361111111111112, 'precision': 0.10434663116309788, 'all_required_rate': 0.6388888888888888, 'empty_rate': 0, 'mean_tokens': 196.96732026143792, 'unsupported_tokens': 7246, 'scope_errors': 0, 'stale_facts': 0, 'forbidden_facts': 0}
heldout bm25_graph: {'queries': 153, 'answerable': 108, 'empty_queries': 36, 'macro_fact_f1': 0.24897878342653698, 'coverage': 0.9907407407407407, 'precision': 0.11407475470974511, 'all_required_rate': 0.9722222222222222, 'empty_rate': 0, 'mean_tokens': 207.20915032679738, 'unsupported_tokens': 7601, 'scope_errors': 0, 'stale_facts': 0, 'forbidden_facts': 0}
heldout bm25_dense: {'queries': 153, 'answerable': 108, 'empty_queries': 36, 'macro_fact_f1': 0.24781867174224703, 'coverage': 0.9614197530864198, 'precision': 0.11635667554669467, 'all_required_rate': 0.9074074074074074, 'empty_rate': 0, 'mean_tokens': 236.41830065359477, 'unsupported_tokens': 9631, 'scope_errors': 0, 'stale_facts': 0, 'forbidden_facts': 0}
heldout bm25_graph_dense: {'queries': 153, 'answerable': 108, 'empty_queries': 36, 'macro_fact_f1': 0.23547159845476814, 'coverage': 0.9876543209876543, 'precision': 0.1067712736705546, 'all_required_rate': 0.9722222222222222, 'empty_rate': 0, 'mean_tokens': 241.00653594771242, 'unsupported_tokens': 9664, 'scope_errors': 0, 'stale_facts': 0, 'forbidden_facts': 0}
heldout bm25_source_packet: {'queries': 153, 'answerable': 108, 'empty_queries': 36, 'macro_fact_f1': 0.2295951047258237, 'coverage': 0.7268518518518519, 'precision': 0.11245933647249437, 'all_required_rate': 0.6388888888888888, 'empty_rate': 0, 'mean_tokens': 222.87581699346404, 'unsupported_tokens': 8354, 'scope_errors': 0, 'stale_facts': 0, 'forbidden_facts': 0}
heldout standing_cache: {'queries': 153, 'answerable': 108, 'empty_queries': 36, 'macro_fact_f1': 0.0, 'coverage': 0.0, 'precision': 0.25, 'all_required_rate': 0, 'empty_rate': 1, 'mean_tokens': 22, 'unsupported_tokens': 0, 'scope_errors': 0, 'stale_facts': 0, 'forbidden_facts': 0}
heldout current_lexical_graph: {'queries': 153, 'answerable': 108, 'empty_queries': 36, 'macro_fact_f1': 0.0, 'coverage': 0.0, 'precision': 0.25, 'all_required_rate': 0, 'empty_rate': 1, 'mean_tokens': 28.54901960784314, 'unsupported_tokens': 0, 'scope_errors': 0, 'stale_facts': 0, 'forbidden_facts': 0}
heldout graph_only: {'queries': 153, 'answerable': 108, 'empty_queries': 36, 'macro_fact_f1': 0.26288680455347124, 'coverage': 0.6527777777777778, 'precision': 0.13465608465608467, 'all_required_rate': 0.5833333333333334, 'empty_rate': 0, 'mean_tokens': 104.0718954248366, 'unsupported_tokens': 2712, 'scope_errors': 0, 'stale_facts': 0, 'forbidden_facts': 0}
